,Tamanho_msg_caracteres,Tamanho_msg_MB,Tempo_gasto_ms,Memoria_gasta_MB
0,0,0.00,0.1476999605074525,0.0
1,5000,0.00,0.29429991263896227,0.0
2,10000,0.01,0.44059997890144587,0.0
3,15000,0.01,0.663299928419292,0.0
4,20000,0.02,0.8366999682039022,0.0
5,25000,0.02,1.0148000437766314,0.0
6,30000,0.03,1.1439999798312783,0.0
7,35000,0.03,1.3618000084534287,0.0
8,40000,0.04,1.4977999962866306,0.0
9,45000,0.04,2.437200048007071,0.0
10,50000,0.05,2.896999940276146,0.0
11,55000,0.05,2.8072999557480216,0.0
12,60000,0.06,3.0361999524757266,0.0
13,65000,0.06,3.158499952405691,0.0
14,70000,0.07,3.548600012436509,0.0
15,75000,0.07,3.8255000254139304,0.0
16,80000,0.08,4.168899962678552,0.0
17,85000,0.08,3.0794000485911965,0.0
18,90000,0.09,4.040299914777279,0.0
19,95000,0.09,4.336100071668625,0.0
20,100000,0.10,4.679800011217594,0.0
21,105000,0.10,5.049799918197095,0.0
22,110000,0.10,4.919300088658929,0.0
23,115000,0.11,5.169700016267598,0.0
24,120000,0.11,5.375399952754378,0.0
25,125000,0.12,5.3443999495357275,0.0
26,130000,0.12,5.849399953149259,0.0
27,135000,0.13,5.585199920460582,0.0
28,140000,0.13,6.27320003695786,0.0
29,145000,0.14,6.060099927708507,0.0
30,150000,0.14,6.101000006310642,0.0
31,155000,0.15,6.23299996368587,0.0
32,160000,0.15,6.738099968060851,0.0
33,165000,0.16,6.8301999708637595,0.0
34,170000,0.16,7.190400036051869,0.0
35,175000,0.17,7.294900016859174,0.0
36,180000,0.17,7.646700018085539,0.0
37,185000,0.18,7.572700036689639,0.0
38,190000,0.18,7.9827000154182315,0.0
39,195000,0.19,7.98900006338954,0.0
40,200000,0.19,7.93550000526011,0.0
41,205000,0.20,8.191100088879466,0.0
42,210000,0.20,8.298799977637827,0.0
43,215000,0.21,6.577499909326434,0.0
44,220000,0.21,8.85099999140948,0.0
45,225000,0.21,9.08980006352067,0.0
46,230000,0.22,7.104399963282049,0.2421875
47,235000,0.22,7.148500066250563,0.0
48,240000,0.23,7.340900017879903,0.0
49,245000,0.23,7.422299939207733,0.25390625
50,250000,0.24,7.735299994237721,0.0
51,255000,0.24,7.746700081042945,0.0
52,260000,0.25,8.118099998682737,0.99609375
53,265000,0.25,7.991700083948672,0.0
54,270000,0.26,8.403899963013828,1.03125
55,275000,0.26,8.545699995011091,1.0546875
56,280000,0.27,8.460399927571416,0.0
57,285000,0.27,8.989900001324713,1.08984375
58,290000,0.28,8.95779998973012,1.109375
59,295000,0.28,8.871100028045475,0.0
60,300000,0.29,9.323499980382621,1.1484375
61,305000,0.29,9.494900004938245,1.16796875
62,310000,0.30,9.334599948488176,0.0
63,315000,0.30,9.712499915622175,1.203125
64,320000,0.31,9.893100010231137,1.2265625
65,325000,0.31,9.766399976797402,0.0
66,330000,0.31,10.161499958485365,1.26171875
67,335000,0.32,10.405699955299497,1.28125
68,340000,0.32,10.245700017549098,0.0
69,345000,0.33,10.655899997800589,1.31640625
70,350000,0.33,10.903800022788346,1.33984375
71,355000,0.34,10.976399993523955,1.01953125
72,360000,0.34,11.138300062157214,1.375
73,365000,0.35,11.24550006352365,1.3984375
74,370000,0.35,11.323299957439303,1.0625
75,375000,0.36,11.548000038601458,1.43359375
76,380000,0.36,11.671700049191713,1.453125
77,385000,0.37,11.680199997499585,1.10546875
78,390000,0.37,11.82759995572269,1.4921875
79,395000,0.38,12.06179999280721,1.51171875
80,400000,0.38,12.160599930211902,1.1484375
81,405000,0.39,12.129000038839877,1.546875
82,410000,0.39,12.394200079143047,1.5703125
83,415000,0.40,12.572800042107701,1.19140625
84,420000,0.40,12.643800000660121,1.60546875
85,425000,0.41,12.81600003130734,1.625
86,430000,0.41,13.167700031772256,1.23046875
87,435000,0.41,13.125200057402253,1.6640625
88,440000,0.42,13.143699965439737,1.68359375
89,445000,0.42,13.291400042362511,1.27734375
90,450000,0.43,13.53300001937896,1.71875
91,455000,0.43,13.51219997741282,1.7421875
92,460000,0.44,13.630400062538683,1.3203125
93,465000,0.44,13.842200045473874,1.77734375
94,470000,0.45,14.044299954548478,1.796875
